,Signature,Raag,Thaat,Prahar,Aaroha,Avroha,Vadi,Samvadi,Pakad,Jati,AS,AR,AG,AM,AP,AD,AN,VS,VR,VG,VM,VP,VD,VN,coeff,P,V,S,coeff2,BS,BR,BG,BM,BP,BD,BN
248,498,"Kalyan, Priya",Kalyan,6 (9pm - 12am),S - r - G - M - P - D - n - S',S' - n - D - P - M - G - r - S,-,-,"r - G - M - P - M - r - G, n - D - P - M - r - G",Sampoorna - Sampoorna,H,K,H,T,H,H,K,H,K,H,T,H,H,K,4.0,6,0,0,0.0,H,K,H,T,H,H,K
250,86,Kafi,Kafi,5 (6pm - 9pm),S - R - g - m - P - D - n - S',S' - n - D - P - m - g - R - S,P,R,SR Rg - mPm P - mP gR,Sampoorna - Sampoorna,H,H,K,H,H,H,K,H,H,K,H,H,H,K,3.2857,5,2,5,3.5,H,H,K,H,H,H,K
251,73,Haunsdhwani / Hansadhvani / Hamsadhvani,Kalyan,5 (6pm - 9pm),S - R - G - P - N - S',S' - N - P - G - R - S,P,R,GPNS' G'R' NP GR GP R 'N'P S,Audav - Audav,H,H,H,A,H,A,H,H,H,H,A,H,A,H,3.4,5,2,5,3.5,H,H,H,A,H,A,H
255,439,"Kalyan, Bhup / Audav Shudhha Kalyan",Kalyan,5 (6pm - 9pm),S - R - G - P - D - S',S' - D - P - G - R - S,P,R,"G - P - R - S, 'D - 'P - G - RS - 'DR - S",Audav - Audav,H,H,H,A,H,H,A,H,H,H,A,H,H,A,3.0,5,2,5,3.5,H,H,H,A,H,H,A
256,318,"Ranjani, Gou",Asavari,6 (9pm - 12am),N - S - G - M - P - N - S',S' - N - d - P - M - G - r - S,P,S,,Audav - Sampoorna,H,A,H,T,H,A,H,H,K,H,T,H,K,H,3.9167,6,2,1,1.5,H,K,H,T,H,K,H
260,359,"Chandrika, Uday Ravi",Bilawal,5 (6pm - 9pm),S - R - G - m - D - N - S',S' - N - D - m - G - R - S,m,S,,Shadav - Shadav,H,H,H,H,A,H,H,H,H,H,H,A,H,H,3.5,5,2,1,1.5,H,H,H,H,A,H,H
272,6,Amrit Varshini,Kalyan,5 (6pm - 9pm),S - G - M - P - N - S',S' - N - P - M - G - S,P,S,G - M - P - N - S' - N - P - M - P - G - M - P,Audav - Audav,H,A,H,T,H,A,H,H,A,H,T,H,A,H,3.8,5,2,1,1.5,H,A,H,T,H,A,H
277,500,Vihangini,Marwa,5 (6pm - 9pm),S - r - G - P - D - N - S',S' - N - D - P - G - r - S,P,S,No specific pakad said,Shadav - Shadav,H,K,H,A,H,H,H,H,K,H,A,H,H,H,3.6667,5,2,1,1.5,H,K,H,A,H,H,H
278,501,"Barari, Shuddha",Marwa,5 (6pm - 9pm),S - r - G - P - D - N - S',S' - N - D - P - G - r - S,P,S,G - P - D - N - D - P - G - r,Shadav - Shadav,H,K,H,A,H,H,H,H,K,H,A,H,H,H,3.6667,5,2,1,1.5,H,K,H,A,H,H,H
282,172,Sohani / Sohini,Marwa,8 (3am - 6am),S - G - M - D - N - S',S' - N - D - M - G - r - S,D,G,"MD NS' r'-S', S' - ND MD - G MD",Audav - Shadav,H,A,H,T,A,H,H,H,K,H,T,A,H,H,4.3636,8,4,3,3.5,H,K,H,T,A,H,H
287,347,Vijay,Kafi,5 (6pm - 9pm),S - R - g - M - P - D - S',"S' - d - P - M, g - R - S",S,S,,Sampoorna - Shadav,H,H,K,T,H,H,A,H,H,K,T,H,K,A,3.75,5,1,1,1.0,H,H,K,T,H,B,A
293,249,"Todi, Chhaya",Todi,1 (6am - 9am),S - r - g - M - d - S',S' - d - M - g - r - S,g,d,,Audav - Audav,H,K,K,T,A,K,A,H,K,K,T,A,K,A,4.2,1,4,3,3.5,H,K,K,T,A,K,A
